code,description,last_updated
P942,Congenital hypotonia,2025-09-07
P948,Other disorders of muscle tone of newborn,2025-09-07
P949,"Disorder of muscle tone of newborn, unspecified",2025-09-07
P95,Fetal death of unspecified cause,2025-09-07
P96,Other conditions originating in the perinatal period,2025-09-07
P960,Congenital renal failure,2025-09-07
P961,Neonatal withdrawal symptoms from maternal use of drugs of addiction,2025-09-07
P962,Withdrawal symptoms from therapeutic use of drugs in newborn,2025-09-07
P963,Wide cranial sutures of newborn,2025-09-07
P964,"Termination of pregnancy, affecting fetus and newborn",2025-09-07
P965,"Complications of intrauterine procedures, not elsewhere classified",2025-09-07
P968,Other specified conditions originating in the perinatal period,2025-09-07
P969,"Condition originating in the perinatal period, unspecified",2025-09-07
Q00,Anencephaly and similar malformations,2025-09-07
Q000,Anencephaly,2025-09-07
Q001,Craniorachischisis,2025-09-07
Q002,Iniencephaly,2025-09-07
Q01,Encephalocele,2025-09-07
Q010,Frontal encephalocele,2025-09-07
Q011,Nasofrontal encephalocele,2025-09-07
Q012,Occipital encephalocele,2025-09-07
Q018,Encephalocele of other sites,2025-09-07
Q019,"Encephalocele, unspecified",2025-09-07
Q02,Microcephaly,2025-09-07
Q03,Congenital hydrocephalus,2025-09-07
Q030,Malformations of aqueduct of Sylvius,2025-09-07
Q031,Atresia of foramina of Magendie and Luschka,2025-09-07
Q038,Other congenital hydrocephalus,2025-09-07
Q039,"Congenital hydrocephalus, unspecified",2025-09-07
Q04,Other congenital malformations of brain,2025-09-07
Q040,Congenital malformations of corpus callosum,2025-09-07
Q041,Arhinencephaly,2025-09-07
Q042,Holoprosencephaly,2025-09-07
Q043,Other reduction deformities of brain,2025-09-07
Q044,Septo-optic dysplasia,2025-09-07
Q045,Megalencephaly,2025-09-07
Q046,Congenital cerebral cysts,2025-09-07
Q048,Other specified congenital malformations of brain,2025-09-07
Q049,"Congenital malformation of brain, unspecified",2025-09-07
Q05,Spina bifida,2025-09-07
Q050,Cervical spina bifida with hydrocephalus,2025-09-07
Q051,Thoracic spina bifida with hydrocephalus,2025-09-07
Q052,Lumbar spina bifida with hydrocephalus,2025-09-07
Q053,Sacral spina bifida with hydrocephalus,2025-09-07
Q054,Unspecified spina bifida with hydrocephalus,2025-09-07
Q055,Cervical spina bifida without hydrocephalus,2025-09-07
Q056,Thoracic spina bifida without hydrocephalus,2025-09-07
Q057,Lumbar spina bifida without hydrocephalus,2025-09-07
Q058,Sacral spina bifida without hydrocephalus,2025-09-07
Q059,"Spina bifida, unspecified",2025-09-07
Q06,Other congenital malformations of spinal cord,2025-09-07
Q060,Amyelia,2025-09-07
Q061,Hypoplasia and dysplasia of spinal cord,2025-09-07
Q062,Diastematomyelia,2025-09-07
Q063,Other congenital cauda equina malformations,2025-09-07
Q064,Hydromyelia,2025-09-07
Q068,Other specified congenital malformations of spinal cord,2025-09-07
Q069,"Congenital malformation of spinal cord, unspecified",2025-09-07
Q07,Other congenital malformations of nervous system,2025-09-07
Q070,Arnold-Chiari syndrome,2025-09-07
Q078,Other specified congenital malformations of nervous system,2025-09-07
Q079,"Congenital malformation of nervous system, unspecified",2025-09-07
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",2025-09-07
Q100,Congenital ptosis,2025-09-07
Q101,Congenital ectropion,2025-09-07
Q102,Congenital entropion,2025-09-07
Q103,Other congenital malformations of eyelid,2025-09-07
Q104,Absence and agenesis of lacrimal apparatus,2025-09-07
Q105,Congenital stenosis and stricture of lacrimal duct,2025-09-07
Q106,Other congenital malformations of lacrimal apparatus,2025-09-07
Q107,Congenital malformation of orbit,2025-09-07
Q11,"Anophthalmos, microphthalmos and macrophthalmos",2025-09-07
Q110,Cystic eyeball,2025-09-07
Q111,Other anophthalmos,2025-09-07
Q112,Microphthalmos,2025-09-07
Q113,Macrophthalmos,2025-09-07
Q12,Congenital lens malformations,2025-09-07
Q120,Congenital cataract,2025-09-07
Q121,Congenital displaced lens,2025-09-07
Q122,Coloboma of lens,2025-09-07
Q123,Congenital aphakia,2025-09-07
Q124,Spherophakia,2025-09-07
Q128,Other congenital lens malformations,2025-09-07
Q129,"Congenital lens malformation, unspecified",2025-09-07
Q13,Congenital malformations of anterior segment of eye,2025-09-07
Q130,Coloboma of iris,2025-09-07
Q131,Absence of iris,2025-09-07
Q132,Other congenital malformations of iris,2025-09-07
Q133,Congenital corneal opacity,2025-09-07
Q134,Other congenital corneal malformations,2025-09-07
Q135,Blue sclera,2025-09-07
Q138,Other congenital malformations of anterior segment of eye,2025-09-07
Q139,"Congenital malformation of anterior segment of eye, unspecified",2025-09-07
Q14,Congenital malformations of posterior segment of eye,2025-09-07
Q140,Congenital malformation of vitreous humour,2025-09-07
Q141,Congenital malformation of retina,2025-09-07
Q142,Congenital malformation of optic disc,2025-09-07
Q143,Congenital malformation of choroid,2025-09-07
Q148,Other congenital malformations of posterior segment of eye,2025-09-07
Q149,"Congenital malformation of posterior segment of eye, unspecified",2025-09-07
Q15,Other congenital malformations of eye,2025-09-07
Q150,Congenital glaucoma,2025-09-07
Q158,Other specified congenital malformations of eye,2025-09-07
Q159,"Congenital malformation of eye, unspecified",2025-09-07
Q16,Congenital malformations of ear causing impairment of hearing,2025-09-07
Q160,Congenital absence of (ear) auricle,2025-09-07
Q161,"Congenital absence, atresia and stricture of auditory canal (external)",2025-09-07
Q162,Absence of eustachian tube,2025-09-07
Q163,Congenital malformation of ear ossicles,2025-09-07
Q164,Other congenital malformations of middle ear,2025-09-07
Q165,Congenital malformation of inner ear,2025-09-07
Q169,"Congenital malformation of ear causing impairment of hearing, unspecified",2025-09-07
Q17,Other congenital malformations of ear,2025-09-07
Q170,Accessory auricle,2025-09-07
Q171,Macrotia,2025-09-07
Q172,Microtia,2025-09-07
Q173,Other misshapen ear,2025-09-07
Q174,Misplaced ear,2025-09-07
Q175,Prominent ear,2025-09-07
Q178,Other specified congenital malformations of ear,2025-09-07
Q179,"Congenital malformation of ear, unspecified",2025-09-07
Q18,Other congenital malformations of face and neck,2025-09-07
Q180,"Sinus, fistula and cyst of branchial cleft",2025-09-07
Q181,Preauricular sinus and cyst,2025-09-07
Q182,Other branchial cleft malformations,2025-09-07
Q183,Webbing of neck,2025-09-07
Q184,Macrostomia,2025-09-07
Q185,Microstomia,2025-09-07
Q186,Macrocheilia,2025-09-07
Q187,Microcheilia,2025-09-07
Q188,Other specified congenital malformations of face and neck,2025-09-07
Q189,"Congenital malformation of face and neck, unspecified",2025-09-07
Q20,Congenital malformations of cardiac chambers and connections,2025-09-07
Q200,Common arterial trunk,2025-09-07
Q201,Double outlet right ventricle,2025-09-07
Q202,Double outlet left ventricle,2025-09-07
Q203,Discordant ventriculoarterial connection,2025-09-07
Q204,Double inlet ventricle,2025-09-07
Q205,Discordant atrioventricular connection,2025-09-07
Q206,Isomerism of atrial appendages,2025-09-07
Q208,Other congenital malformations of cardiac chambers and connections,2025-09-07
Q209,"Congenital malformation of cardiac chambers and connections, unspecified",2025-09-07
Q21,Congenital malformations of cardiac septa,2025-09-07
Q210,Ventricular septal defect,2025-09-07
Q211,Atrial septal defect,2025-09-07
Q212,Atrioventricular septal defect,2025-09-07
Q213,Tetralogy of Fallot,2025-09-07
Q214,Aortopulmonary septal defect,2025-09-07
Q218,Other congenital malformations of cardiac septa,2025-09-07
Q219,"Congenital malformation of cardiac septum, unspecified",2025-09-07
Q22,Congenital malformations of pulmonary and tricuspid valves,2025-09-07
Q220,Pulmonary valve atresia,2025-09-07
Q221,Congenital pulmonary valve stenosis,2025-09-07
Q222,Congenital pulmonary valve insufficiency,2025-09-07
Q223,Other congenital malformations of pulmonary valve,2025-09-07
Q224,Congenital tricuspid stenosis,2025-09-07
Q225,Ebstein anomaly,2025-09-07
Q226,Hypoplastic right heart syndrome,2025-09-07
Q228,Other congenital malformations of tricuspid valve,2025-09-07
Q229,"Congenital malformation of tricuspid valve, unspecified",2025-09-07
Q23,Congenital malformations of aortic and mitral valves,2025-09-07
Q230,Congenital stenosis of aortic valve,2025-09-07
Q231,Congenital insufficiency of aortic valve,2025-09-07
Q232,Congenital mitral stenosis,2025-09-07
Q233,Congenital mitral insufficiency,2025-09-07
Q234,Hypoplastic left heart syndrome,2025-09-07
Q238,Other congenital malformations of aortic and mitral valves,2025-09-07
Q239,"Congenital malformation of aortic and mitral valves, unspecified",2025-09-07
Q24,Other congenital malformations of heart,2025-09-07
Q240,Dextrocardia,2025-09-07
Q241,Laevocardia,2025-09-07
Q242,Cor triatriatum,2025-09-07
Q243,Pulmonary infundibular stenosis,2025-09-07
Q244,Congenital subaortic stenosis,2025-09-07
Q245,Malformation of coronary vessels,2025-09-07
Q246,Congenital heart block,2025-09-07
Q248,Other specified congenital malformations of heart,2025-09-07
Q249,"Congenital malformation of heart, unspecified",2025-09-07
Q25,Congenital malformations of great arteries,2025-09-07
Q250,Patent ductus arteriosus,2025-09-07
Q251,Coarctation of aorta,2025-09-07
Q252,Atresia of aorta,2025-09-07
Q253,Stenosis of aorta,2025-09-07
Q254,Other congenital malformations of aorta,2025-09-07
Q255,Atresia of pulmonary artery,2025-09-07
Q256,Stenosis of pulmonary artery,2025-09-07
Q257,Other congenital malformations of pulmonary artery,2025-09-07
Q258,Other congenital malformations of great arteries,2025-09-07
Q259,"Congenital malformation of great arteries, unspecified",2025-09-07
Q26,Congenital malformations of great veins,2025-09-07
Q260,Congenital stenosis of vena cava,2025-09-07
Q261,Persistent left superior vena cava,2025-09-07
Q262,Total anomalous pulmonary venous connection,2025-09-07
Q263,Partial anomalous pulmonary venous connection,2025-09-07
Q264,"Anomalous pulmonary venous connection, unspecified",2025-09-07
Q265,Anomalous portal venous connection,2025-09-07
Q266,Portal vein-hepatic artery fistula,2025-09-07
Q268,Other congenital malformations of great veins,2025-09-07
Q269,"Congenital malformation of great vein, unspecified",2025-09-07
Q27,Other congenital malformations of peripheral vascular system,2025-09-07
Q270,Congenital absence and hypoplasia of umbilical artery,2025-09-07
Q271,Congenital renal artery stenosis,2025-09-07
Q272,Other congenital malformations of renal artery,2025-09-07
Q273,Peripheral arteriovenous malformation,2025-09-07
Q274,Congenital phlebectasia,2025-09-07
Q278,Other specified congenital malformations of peripheral vascular system,2025-09-07
Q279,"Congenital malformation of peripheral vascular system, unspecified",2025-09-07
Q28,Other congenital malformations of circulatory system,2025-09-07
Q280,Arteriovenous malformation of precerebral vessels,2025-09-07
Q281,Other malformations of precerebral vessels,2025-09-07
Q282,Arteriovenous malformation of cerebral vessels,2025-09-07
Q283,Other malformations of cerebral vessels,2025-09-07
Q288,Other specified congenital malformations of circulatory system,2025-09-07
Q289,"Congenital malformation of circulatory system, unspecified",2025-09-07
Q30,Congenital malformations of nose,2025-09-07
Q300,Choanal atresia,2025-09-07
Q301,Agenesis and underdevelopment of nose,2025-09-07
Q302,"Fissured, notched and cleft nose",2025-09-07
Q303,Congenital perforated nasal septum,2025-09-07
Q308,Other congenital malformations of nose,2025-09-07
Q309,"Congenital malformation of nose, unspecified",2025-09-07
Q31,Congenital malformations of larynx,2025-09-07
Q310,Web of larynx,2025-09-07
Q311,Congenital subglottic stenosis,2025-09-07
Q312,Laryngeal hypoplasia,2025-09-07
Q313,Laryngocele,2025-09-07
Q315,Congenital laryngomalacia,2025-09-07
Q318,Other congenital malformations of larynx,2025-09-07
Q319,"Congenital malformation of larynx, unspecified",2025-09-07
Q32,Congenital malformations of trachea and bronchus,2025-09-07
Q320,Congenital tracheomalacia,2025-09-07
Q321,Other congenital malformations of trachea,2025-09-07
Q322,Congenital bronchomalacia,2025-09-07
Q323,Congenital stenosis of bronchus,2025-09-07
Q324,Other congenital malformations of bronchus,2025-09-07
Q33,Congenital malformations of lung,2025-09-07
Q330,Congenital cystic lung,2025-09-07
Q331,Accessory lobe of lung,2025-09-07
Q332,Sequestration of lung,2025-09-07
Q333,Agenesis of lung,2025-09-07
Q334,Congenital bronchiectasis,2025-09-07
Q335,Ectopic tissue in lung,2025-09-07
Q336,Hypoplasia and dysplasia of lung,2025-09-07
Q338,Other congenital malformations of lung,2025-09-07
Q339,"Congenital malformation of lung, unspecified",2025-09-07
Q34,Other congenital malformations of respiratory system,2025-09-07
Q340,Anomaly of pleura,2025-09-07
Q341,Congenital cyst of mediastinum,2025-09-07
Q348,Other specified congenital malformations of respiratory system,2025-09-07
Q349,"Congenital malformation of respiratory system, unspecified",2025-09-07
Q35,Cleft palate,2025-09-07
Q351,Cleft hard palate,2025-09-07
Q353,Cleft soft palate,2025-09-07
Q355,Cleft hard palate with cleft soft palate,2025-09-07
Q357,Cleft uvula,2025-09-07
Q359,"Cleft palate, unspecified",2025-09-07
Q36,Cleft lip,2025-09-07
Q360,"Cleft lip, bilateral",2025-09-07
Q361,"Cleft lip, median",2025-09-07
Q369,"Cleft lip, unilateral",2025-09-07
Q37,Cleft palate with cleft lip,2025-09-07
Q370,Cleft hard palate with bilateral cleft lip,2025-09-07
Q371,Cleft hard palate with unilateral cleft lip,2025-09-07
Q372,Cleft soft palate with bilateral cleft lip,2025-09-07
Q373,Cleft soft palate with unilateral cleft lip,2025-09-07
Q374,Cleft hard and soft palate with bilateral cleft lip,2025-09-07
Q375,Cleft hard and soft palate with unilateral cleft lip,2025-09-07
Q378,Unspecified cleft palate with bilateral cleft lip,2025-09-07
Q379,Unspecified cleft palate with unilateral cleft lip,2025-09-07
Q38,"Other congenital malformations of tongue, mouth and pharynx",2025-09-07
Q380,"Congenital malformations of lips, not elsewhere classified",2025-09-07
Q381,Ankyloglossia,2025-09-07
Q382,Macroglossia,2025-09-07
Q383,Other congenital malformations of tongue,2025-09-07
Q384,Congenital malformations of salivary glands and ducts,2025-09-07
Q385,"Congenital malformations of palate, not elsewhere classified",2025-09-07
Q386,Other congenital malformations of mouth,2025-09-07
Q387,Pharyngeal pouch,2025-09-07
Q388,Other congenital malformations of pharynx,2025-09-07
Q39,Congenital malformations of oesophagus,2025-09-07
Q390,Atresia of oesophagus without fistula,2025-09-07
Q391,Atresia of oesophagus with tracheo-oesophageal fistula,2025-09-07
Q392,Congenital tracheo-oesophageal fistula without atresia,2025-09-07
Q393,Congenital stenosis and stricture of oesophagus,2025-09-07
Q394,Congenital oesophageal web,2025-09-07
Q395,Congenital dilatation of oesophagus,2025-09-07
Q396,Diverticulum of oesophagus,2025-09-07
Q398,Other congenital malformations of oesophagus,2025-09-07
Q399,"Congenital malformation of oesophagus, unspecified",2025-09-07
Q40,Other congenital malformations of upper alimentary tract,2025-09-07
Q400,Congenital hypertrophic pyloric stenosis,2025-09-07
Q401,Congenital hiatus hernia,2025-09-07
Q402,Other specified congenital malformations of stomach,2025-09-07
Q403,"Congenital malformation of stomach, unspecified",2025-09-07
Q408,Other specified congenital malformations of upper alimentary tract,2025-09-07
Q409,"Congenital malformation of upper alimentary tract, unspecified",2025-09-07
Q41,"Congenital absence, atresia and stenosis of small intestine",2025-09-07
Q410,"Congenital absence, atresia and stenosis of duodenum",2025-09-07
Q411,"Congenital absence, atresia and stenosis of jejunum",2025-09-07
Q412,"Congenital absence, atresia and stenosis of ileum",2025-09-07
Q418,"Congenital absence, atresia and stenosis of other specified parts of small intestine",2025-09-07
Q419,"Congenital absence, atresia and stenosis of small intestine, part unspecified",2025-09-07
Q42,"Congenital absence, atresia and stenosis of large intestine",2025-09-07
Q420,"Congenital absence, atresia and stenosis of rectum with fistula",2025-09-07
Q421,"Congenital absence, atresia and stenosis of rectum without fistula",2025-09-07
Q422,"Congenital absence, atresia and stenosis of anus with fistula",2025-09-07
Q423,"Congenital absence, atresia and stenosis of anus without fistula",2025-09-07
Q428,"Congenital absence, atresia and stenosis of other parts of large intestine",2025-09-07
Q429,"Congenital absence, atresia and stenosis of large intestine, part unspecified",2025-09-07
Q43,Other congenital malformations of intestine,2025-09-07
Q430,Meckel diverticulum,2025-09-07
Q431,Hirschsprung disease,2025-09-07
Q432,Other congenital functional disorders of colon,2025-09-07
Q433,Congenital malformations of intestinal fixation,2025-09-07
Q434,Duplication of intestine,2025-09-07
Q435,Ectopic anus,2025-09-07
Q436,Congenital fistula of rectum and anus,2025-09-07
Q437,Persistent cloaca,2025-09-07
Q438,Other specified congenital malformations of intestine,2025-09-07
Q439,"Congenital malformation of intestine, unspecified",2025-09-07
Q44,"Congenital malformations of gallbladder, bile ducts and liver",2025-09-07
Q440,"Agenesis, aplasia and hypoplasia of gallbladder",2025-09-07
Q441,Other congenital malformations of gallbladder,2025-09-07
Q442,Atresia of bile ducts,2025-09-07
Q443,Congenital stenosis and stricture of bile ducts,2025-09-07
Q444,Choledochal cyst,2025-09-07
Q445,Other congenital malformations of bile ducts,2025-09-07
Q446,Cystic disease of liver,2025-09-07
Q447,Other congenital malformations of liver,2025-09-07
Q45,Other congenital malformations of digestive system,2025-09-07
Q450,"Agenesis, aplasia and hypoplasia of pancreas",2025-09-07
Q451,Annular pancreas,2025-09-07
Q452,Congenital pancreatic cyst,2025-09-07
Q453,Other congenital malformations of pancreas and pancreatic duct,2025-09-07
Q458,Other specified congenital malformations of digestive system,2025-09-07
Q459,"Congenital malformation of digestive system, unspecified",2025-09-07
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",2025-09-07
Q500,Congenital absence of ovary,2025-09-07
Q501,Developmental ovarian cyst,2025-09-07
Q502,Congenital torsion of ovary,2025-09-07
Q503,Other congenital malformations of ovary,2025-09-07
Q504,Embryonic cyst of fallopian tube,2025-09-07
Q505,Embryonic cyst of broad ligament,2025-09-07
Q506,Other congenital malformations of fallopian tube and broad ligament,2025-09-07
Q51,Congenital malformations of uterus and cervix,2025-09-07
Q510,Agenesis and aplasia of uterus,2025-09-07
Q511,Doubling of uterus with doubling of cervix and vagina,2025-09-07
Q512,Other doubling of uterus,2025-09-07
Q513,Bicornate uterus,2025-09-07
Q514,Unicornate uterus,2025-09-07
Q515,Agenesis and aplasia of cervix,2025-09-07
Q516,Embryonic cyst of cervix,2025-09-07
Q517,Congenital fistulae between uterus and digestive and urinary tracts,2025-09-07
Q518,Other congenital malformations of uterus and cervix,2025-09-07
Q519,"Congenital malformation of uterus and cervix, unspecified",2025-09-07
Q52,Other congenital malformations of female genitalia,2025-09-07
Q520,Congenital absence of vagina,2025-09-07
Q521,Doubling of vagina,2025-09-07
Q522,Congenital rectovaginal fistula,2025-09-07
Q523,Imperforate hymen,2025-09-07
Q524,Other congenital malformations of vagina,2025-09-07
Q525,Fusion of labia,2025-09-07
Q526,Congenital malformation of clitoris,2025-09-07
Q527,Other congenital malformations of vulva,2025-09-07
Q528,Other specified congenital malformations of female genitalia,2025-09-07
Q529,"Congenital malformation of female genitalia, unspecified",2025-09-07
Q53,Undescended testicle,2025-09-07
Q530,Ectopic testis,2025-09-07
Q531,"Undescended testicle, unilateral",2025-09-07
Q532,"Undescended testicle, bilateral",2025-09-07
Q539,"Undescended testicle, unspecified",2025-09-07
Q54,Hypospadias,2025-09-07
Q540,"Hypospadias, balanic",2025-09-07
Q541,"Hypospadias, penile",2025-09-07
Q542,"Hypospadias, penoscrotal",2025-09-07
Q543,"Hypospadias, perineal",2025-09-07
Q544,Congenital chordee,2025-09-07
Q548,Other hypospadias,2025-09-07
Q549,"Hypospadias, unspecified",2025-09-07
Q55,Other congenital malformations of male genital organs,2025-09-07
Q550,Absence and aplasia of testis,2025-09-07
Q551,Hypoplasia of testis and scrotum,2025-09-07
Q552,Other congenital malformations of testis and scrotum,2025-09-07
Q553,Atresia of vas deferens,2025-09-07
Q554,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",2025-09-07
Q555,Congenital absence and aplasia of penis,2025-09-07
Q556,Other congenital malformations of penis,2025-09-07
Q558,Other specified congenital malformations of male genital organs,2025-09-07
Q559,"Congenital malformation of male genital organ, unspecified",2025-09-07
Q56,Indeterminate sex and pseudohermaphroditism,2025-09-07
Q560,"Hermaphroditism, not elsewhere classified",2025-09-07
Q561,"Male pseudohermaphroditism, not elsewhere classified",2025-09-07
Q562,"Female pseudohermaphroditism, not elsewhere classified",2025-09-07
Q563,"Pseudohermaphroditism, unspecified",2025-09-07
Q564,"Indeterminate sex, unspecified",2025-09-07
Q60,Renal agenesis and other reduction defects of kidney,2025-09-07
Q600,"Renal agenesis, unilateral",2025-09-07
Q601,"Renal agenesis, bilateral",2025-09-07
Q602,"Renal agenesis, unspecified",2025-09-07
Q603,"Renal hypoplasia, unilateral",2025-09-07
Q604,"Renal hypoplasia, bilateral",2025-09-07
Q605,"Renal hypoplasia, unspecified",2025-09-07
Q606,Potter syndrome,2025-09-07
Q61,Cystic kidney disease,2025-09-07
Q610,Congenital single renal cyst,2025-09-07
Q611,"Polycystic kidney, autosomal recessive",2025-09-07
Q612,"Polycystic kidney, autosomal dominant",2025-09-07
Q613,"Polycystic kidney, unspecified",2025-09-07
Q614,Renal dysplasia,2025-09-07
Q615,Medullary cystic kidney,2025-09-07
Q618,Other cystic kidney diseases,2025-09-07
Q619,"Cystic kidney disease, unspecified",2025-09-07
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,2025-09-07
Q620,Congenital hydronephrosis,2025-09-07
Q621,Atresia and stenosis of ureter,2025-09-07
Q622,Congenital megaloureter,2025-09-07
Q623,Other obstructive defects of renal pelvis and ureter,2025-09-07
Q624,Agenesis of ureter,2025-09-07
Q625,Duplication of ureter,2025-09-07
Q626,Malposition of ureter,2025-09-07
Q627,Congenital vesico-uretero-renal reflux,2025-09-07
Q628,Other congenital malformations of ureter,2025-09-07
Q63,Other congenital malformations of kidney,2025-09-07
Q630,Accessory kidney,2025-09-07
Q631,"Lobulated, fused and horseshoe kidney",2025-09-07
Q632,Ectopic kidney,2025-09-07
Q633,Hyperplastic and giant kidney,2025-09-07
Q638,Other specified congenital malformations of kidney,2025-09-07
Q639,"Congenital malformation of kidney, unspecified",2025-09-07
Q64,Other congenital malformations of urinary system,2025-09-07
Q640,Epispadias,2025-09-07
Q641,Exstrophy of urinary bladder,2025-09-07
Q642,Congenital posterior urethral valves,2025-09-07
Q643,Other atresia and stenosis of urethra and bladder neck,2025-09-07
Q644,Malformation of urachus,2025-09-07
Q645,Congenital absence of bladder and urethra,2025-09-07
Q646,Congenital diverticulum of bladder,2025-09-07
Q647,Other congenital malformations of bladder and urethra,2025-09-07
Q648,Other specified congenital malformations of urinary system,2025-09-07
Q649,"Congenital malformation of urinary system, unspecified",2025-09-07
Q65,Congenital deformities of hip,2025-09-07
Q650,"Congenital dislocation of hip, unilateral",2025-09-07
Q651,"Congenital dislocation of hip, bilateral",2025-09-07
Q652,"Congenital dislocation of hip, unspecified",2025-09-07
Q653,"Congenital subluxation of hip, unilateral",2025-09-07
Q654,"Congenital subluxation of hip, bilateral",2025-09-07
Q655,"Congenital subluxation of hip, unspecified",2025-09-07
Q656,Unstable hip,2025-09-07
Q658,Other congenital deformities of hip,2025-09-07
Q659,"Congenital deformity of hip, unspecified",2025-09-07
Q66,Congenital deformities of feet,2025-09-07
Q660,Talipes equinovarus,2025-09-07
Q661,Talipes calcaneovarus,2025-09-07
Q662,Metatarsus varus,2025-09-07
Q663,Other congenital varus deformities of feet,2025-09-07
Q664,Talipes calcaneovalgus,2025-09-07
Q665,Congenital pes planus,2025-09-07
Q666,Other congenital valgus deformities of feet,2025-09-07
Q667,Pes cavus,2025-09-07
Q668,Other congenital deformities of feet,2025-09-07
Q669,"Congenital deformity of feet, unspecified",2025-09-07
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",2025-09-07
Q670,Facial asymmetry,2025-09-07
Q671,Compression facies,2025-09-07
Q672,Dolichocephaly,2025-09-07
Q673,Plagiocephaly,2025-09-07
Q674,"Other congenital deformities of skull, face and jaw",2025-09-07
Q675,Congenital deformity of spine,2025-09-07
Q676,Pectus excavatum,2025-09-07
Q677,Pectus carinatum,2025-09-07
Q678,Other congenital deformities of chest,2025-09-07
Q68,Other congenital musculoskeletal deformities,2025-09-07
Q680,Congenital deformity of sternocleidomastoid muscle,2025-09-07
Q681,Congenital deformity of hand,2025-09-07
Q682,Congenital deformity of knee,2025-09-07
Q683,Congenital bowing of femur,2025-09-07
Q684,Congenital bowing of tibia and fibula,2025-09-07
Q685,"Congenital bowing of long bones of leg, unspecified",2025-09-07
Q688,Other specified congenital musculoskeletal deformities,2025-09-07
Q69,Polydactyly,2025-09-07
Q690,Accessory finger(s),2025-09-07
Q691,Accessory thumb(s),2025-09-07
Q692,Accessory toe(s),2025-09-07
Q699,"Polydactyly, unspecified",2025-09-07
Q70,Syndactyly,2025-09-07
Q700,Fused fingers,2025-09-07
Q701,Webbed fingers,2025-09-07
Q702,Fused toes,2025-09-07
Q703,Webbed toes,2025-09-07
Q704,Polysyndactyly,2025-09-07
Q709,"Syndactyly, unspecified",2025-09-07
Q71,Reduction defects of upper limb,2025-09-07
Q710,Congenital complete absence of upper limb(s),2025-09-07
Q711,Congenital absence of upper arm and forearm with hand present,2025-09-07
Q712,Congenital absence of both forearm and hand,2025-09-07
Q713,Congenital absence of hand and finger(s),2025-09-07
Q714,Longitudinal reduction defect of radius,2025-09-07
Q715,Longitudinal reduction defect of ulna,2025-09-07
Q716,Lobster-claw hand,2025-09-07
Q718,Other reduction defects of upper limb(s),2025-09-07
Q719,"Reduction defect of upper limb, unspecified",2025-09-07
Q72,Reduction defects of lower limb,2025-09-07
Q720,Congenital complete absence of lower limb(s),2025-09-07
Q721,Congenital absence of thigh and lower leg with foot present,2025-09-07
Q722,Congenital absence of both lower leg and foot,2025-09-07
Q723,Congenital absence of foot and toe(s),2025-09-07
Q724,Longitudinal reduction defect of femur,2025-09-07
Q725,Longitudinal reduction defect of tibia,2025-09-07
Q726,Longitudinal reduction defect of fibula,2025-09-07
Q727,Split foot,2025-09-07
Q728,Other reduction defects of lower limb(s),2025-09-07
Q729,"Reduction defect of lower limb, unspecified",2025-09-07
Q73,Reduction defects of unspecified limb,2025-09-07
Q730,Congenital absence of unspecified limb(s),2025-09-07
Q731,"Phocomelia, unspecified limb(s)",2025-09-07
Q738,Other reduction defects of unspecified limb(s),2025-09-07
Q74,Other congenital malformations of limb(s),2025-09-07
Q740,"Other congenital malformations of upper limb(s), including shoulder girdle",2025-09-07
Q741,Congenital malformation of knee,2025-09-07
Q742,"Other congenital malformations of lower limb(s), including pelvic girdle",2025-09-07
Q743,Arthrogryposis multiplex congenita,2025-09-07
Q748,Other specified congenital malformations of limb(s),2025-09-07
Q749,Unspecified congenital malformation of limb(s),2025-09-07
Q75,Other congenital malformations of skull and face bones,2025-09-07
Q750,Craniosynostosis,2025-09-07
Q751,Craniofacial dysostosis,2025-09-07
Q752,Hypertelorism,2025-09-07
Q753,Macrocephaly,2025-09-07
Q754,Mandibulofacial dysostosis,2025-09-07
Q755,Oculomandibular dysostosis,2025-09-07
Q758,Other specified congenital malformations of skull and face bones,2025-09-07
Q759,"Congenital malformation of skull and face bones, unspecified",2025-09-07
Q76,Congenital malformations of spine and bony thorax,2025-09-07
Q760,Spina bifida occulta,2025-09-07
Q761,Klippel-Feil syndrome,2025-09-07
Q762,Congenital spondylolisthesis,2025-09-07
Q763,Congenital scoliosis due to congenital bony malformation,2025-09-07
Q764,"Other congenital malformations of spine, not associated with scoliosis",2025-09-07
Q765,Cervical rib,2025-09-07
Q766,Other congenital malformations of ribs,2025-09-07
Q767,Congenital malformation of sternum,2025-09-07
Q768,Other congenital malformations of bony thorax,2025-09-07
Q769,"Congenital malformation of bony thorax, unspecified",2025-09-07
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,2025-09-07
Q770,Achondrogenesis,2025-09-07
Q771,Thanatophoric short stature,2025-09-07
Q772,Short rib syndrome,2025-09-07
Q773,Chondrodysplasia punctata,2025-09-07
Q774,Achondroplasia,2025-09-07
Q775,Dystrophic dysplasia,2025-09-07
